term,brd & ggp & panc,brd & ggp & kras-mapk,panc & ggp & kras-mapk,brd & ggp & kras-mapk & panc,panc & ggp & kras-mapk set,brd & ggp set,GGP & Panc connection,BRD & GGP connection,,,,,,,,,,,,,,,,,,,,,,,,,
p16,0,0,138,0,"{12727809, 25240578, 29660164, 20485640, 25724428, 36448271, 15958547, 28232723, 12718618, 11490843, 33406492, 26527777, 15940643, 34328099, 11382316, 10734643, 11115575, 21196348, 28190274, 25152585, 27256393, 12483152, 12063826, 24604757, 26899542, 21611096, 22722139, 21242978, 15578211, 22208613, 17198183, 25726061, 23555182, 15957615, 25911935, 11561601, 12021893, 12021894, 22049925, 10660490, 9443984, 24212630, 16251039, 10436775, 22116519, 30226601, 11102889, 37191859, 10781373, 34629822, 12520639, 20418756, 27233476, 10436811, 15367885, 16497872, 19443408, 25453266, 26884312, 26118878, 22113502, 32405728, 34001634, 22112488, 21235432, 10436842, 12094699, 10415855, 12802288, 12692724, 26646266, 11520255, 16146690, 23340292, 19351817, 22052106, 24858378, 18691340, 16585505, 19896100, 32891173, 35941161, 9841966, 18028855, 31417657, 28145465, 24474939, 16818496, 21279552, 23049538, 33347393, 11950919, 24445769, 25687883, 24976721, 14743890, 17659731, 27454293, 9807701, 21836633, 17546589, 22226782, 26725216, 21492076, 21075310, 32344944, 27865459, 31588223, 9792901, 8950667, 16940943, 12946833, 21734801, 18266003, 26408346, 9641882, 10950061, 29103024, 17804724, 25029561, 12120000, 27158978, 26753987, 17031113, 18541514, 17349581, 23376846, 16549325, 17667542, 21535200, 25360865, 23470568, 23774697, 17023981, 15052782, 21886451, 9219065, 23316479}","{36908321, 31727874, 25773539, 24185123, 34893510, 29600711, 11331592, 29755274, 26802028, 27102007, 34160250}", ,,rapamycin,,,,,,,pi3k,ctd,,,,,,,,,,,,,,,,
cancer development,0,1,102,0,"{21856775, 33051146, 25724428, 31548432, 32304665, 23980075, 36077614, 12094008, 21852217, 36379206, 12622410, 18349132, 9001550, 34320467, 27364947, 16489047, 22722139, 11526239, 27732578, 28886117, 31877753, 25797243, 20807812, 28755079, 29670543, 24799381, 24212630, 33946266, 26404002, 32900774, 29101736, 25623216, 25261239, 28742845, 22784710, 22797009, 17706193, 28374746, 26516699, 35189981, 29156578, 26178787, 24902898, 25127677, 19917056, 15202051, 25250570, 32368394, 28025100, 36715788, 15316751, 23761168, 29670173, 36617502, 21199651, 30100261, 25939753, 23712558, 19292977, 28971839, 21279552, 33127746, 29802314, 36660044, 28272465, 25100121, 32499547, 26716510, 19609950, 33716066, 25322341, 31988090, 19951995, 32582528, 31057295, 28892048, 21734801, 18266003, 22751123, 8893335, 34356634, 26617245, 11986336, 36139432, 21819318, 33344439, 34859959, 22565310, 22860230, 33670598, 28367822, 30213082, 23470560, 17911264, 24947179, 25604078, 22586351, 27889647, 26544625, 24395249, 16979953, 32017404}","{33757572, 28359301, 25512710, 34160902, 34548613, 30539410, 30833300, 31105558, 36544023, 30733722, 35530522, 35065514, 33712563, 34750516, 31680319, 30542529, 33161793, 32559427, 22334664, 35096137, 35969736, 28481868, 29725006, 27746255, 36674511, 34791636, 30715616, 37223910, 28002667, 30589164, 29777912, 26731131}", ,,#N/A,,,,,,,pi3k,lovastatin,HY-L025-74,G03,HY-N0504,Lovastatin,Mevinolin,75330-75-5,404.54,Autophagy; Ferroptosis; HMG-CoA Reductase (HMGCR),Apoptosis; Autophagy; Metabolic Enzyme/Protease,Lovastatin is a cell-permeable HMG-CoA reductase inhibitor used to lower cholesterol.,C24H36O5,DMSO : ≥ 100 mg/mL (247.19 mM),10mM,Cardiovascular Disease; Cancer,Launched,O=C([C@@H](C)CC)O[C@@H]1[C@@]([C@H]2CC[C@@H](OC3=O)C[C@H](C3)O)([H])C(C=C[C@@H]2C)=C[C@H](C)C1
trp53,0,2,88,0,"{23076356, 19880966, 25724428, 18374157, 21056012, 22157328, 36451859, 25719829, 32341020, 20018721, 26438692, 34009137, 26582596, 36379206, 25888329, 34484811, 31011408, 24953430, 31233118, 32368735, 26004068, 32360551, 36741230, 33073264, 32694385, 21289082, 27506299, 32580737, 29364867, 23689354, 31534224, 25003666, 17611415, 23963802, 26359451, 29249692, 30185628, 32233134, 33501895, 24803537, 27003603, 22158044, 28162272, 15894267, 24075515, 25127677, 29490942, 32909573, 27659014, 34001163, 33060108, 24607504, 30728464, 24278292, 20959520, 21199651, 27609895, 26946344, 32434991, 37169967, 28415794, 35428659, 23333712, 29363536, 24875860, 25875797, 25875801, 23989613, 21665147, 31780749, 26077591, 33509790, 30386596, 35247012, 27624879, 36351408, 16397237, 29903803, 27376576, 27248578, 36848578, 29604293, 27061193, 20534740, 26704357, 33483239, 20303350, 30975481}","{33705152, 33512458, 16204849, 34987057, 29880921, 33158843}", ,,#N/A,,,,,,,pi3k,fenofibrate,HY-L025-57,G03,HY-17356,Fenofibrate,,49562-28-9,360.83,Autophagy; Cytochrome P450; PPAR,Autophagy; Cell Cycle/DNA Damage; Metabolic Enzyme/Protease; Vitamin D Related/Nuclear Receptor,"Fenofibrate is a selective PPARα agonist with an EC50 of 30 μM. Fenofibrate also inhibits human cytochrome P450 isoforms, with IC50s of 0.2, 0.7, 9.7, 4.8 and 142.1 μM for CYP2C19, CYP2B6, CYP2C9, CYP2C8, and CYP3A4, respectively.",C20H21ClO4,DMSO : 250 mg/mL (692.85 mM; Need ultrasonic),10mM,Cardiovascular Disease; Cancer,Launched,CC(C)(OC1=CC=C(C(C2=CC=C(Cl)C=C2)=O)C=C1)C(OC(C)C)=O
tumor development,0,1,72,0,"{30142336, 21673986, 31262852, 26477318, 27659014, 27308552, 29808009, 22752926, 27641742, 29970191, 35082384, 36741265, 23761168, 31548432, 28581520, 36912021, 8194712, 19208345, 29249692, 18832796, 33467038, 30626590, 16822304, 34805152, 28837246, 28891811, 30386596, 35247012, 21704226, 32200350, 36139432, 26416424, 32434991, 29596465, 27461042, 28415794, 31072439, 12082617, 34529467, 26137023, 34922945, 36453576, 26880586, 18541514, 31266893, 12483152, 24720336, 30372817, 27215184, 24850902, 16489047, 31076568, 30213082, 26118878, 17911264, 3009377, 11159909, 21589862, 24878567, 23162473, 25341034, 19631339, 20725998, 35261808, 24395249, 30296435, 23622131, 33997944, 22190076, 25127677, 31760766, 22900095}","{27536004, 31105558, 28714904, 30459933, 24632608, 29077030, 32157097, 33144118, 30610113, 30029633, 31901895, 30643017, 31780938, 30015945, 32741705, 27158366, 35049055, 24065765, 26623725, 29246957, 37075063, 35593209, 28484091, 26456956}", ,,#N/A,,,,,,,pi3k,umbralisib,HY-L025-24,G09,HY-12279C,Umbralisib (hydrochloride),TGR-1202 hydrochloride; RP5264 hydrochloride,1532533-78-0,608.01,Casein Kinase; PI3K,Cell Cycle/DNA Damage; PI3K/Akt/mTOR; Stem Cell/Wnt,"Umbralisib (TGR-1202) hydrochloride is an orally active, potent and selective dual PI3Kδ and casein kinase-1-ε (CK1ε) inhibitor, with EC50 of 22.2 nM and 6.0 μM, respectively. Umbralisib hydrochloride exhibits unique immunomodulatory effects on chronic lymphocytic leukemia (CLL) T cells. Umbralisib hydrochloride can be used for haematological malignancies reseach[1][2][3][4].",C31H25ClF3N5O3,DMSO : ≥ 150 mg/mL (246.71 mM); H2O : < 0.1 mg/mL (ultrasonic;warming;heat to 60°C) (insoluble),10mM,Cancer,Launched,O=C1C(C2=CC=CC(F)=C2)=C([C@@H](N3N=C(C4=CC=C(OC(C)C)C(F)=C4)C5=C(N)N=CN=C53)C)OC6=CC=C(F)C=C16.[H]Cl
oncogenesis,0,2,51,0,"{9918209, 29364867, 25250570, 28025100, 25748236, 31548432, 23213974, 29748382, 12647072, 27539232, 25133484, 34805167, 27068336, 24240689, 21734707, 37210549, 35965494, 26790710, 31874105, 22790202, 30083262, 22056382, 31816384, 25216706, 22762308, 34347973, 30558665, 26929740, 36709325, 24694735, 24195024, 18089810, 20801877, 26590425, 26497117, 22462691, 21492076, 35538031, 15300592, 31227505, 11323507, 34903667, 32012917, 30514931, 23422836, 8759672, 20358644, 36882420, 8927612, 26052093, 29490942}","{30876800, 34201346, 30232453, 35836809, 28263307, 35105803, 24421395, 24952595, 32873880, 32240793, 32913560, 32624538, 27827996, 33711386, 24632608, 28729764, 36775461, 28468776, 26914985, 28630312, 28848040, 34563497, 23144621, 29467311, 36274096, 33562801, 25284786, 34729395, 34519605, 25961913, 30154425, 34615996, 26405693, 29931583, 27624132, 16122695, 25982285, 33594072, 35514200, 20676058, 11244510, 32094302, 24973920, 17425505, 36777828, 30921702, 30212584, 20581866, 36313707, 33849067, 25639793, 21652721, 37148657, 24571255, 24009722, 36711038}", ,,#N/A,,,,,,,pi3k,auy922,HY-L025-7,D09,HY-10215,Luminespib,VER-52296; AUY922; NVP-AUY922,747412-49-3,465.54,Apoptosis; Autophagy; HSP,Apoptosis; Autophagy; Cell Cycle/DNA Damage; Metabolic Enzyme/Protease,"Luminespib (VER-52296) is a potent HSP90 inhibitor with IC50s of 7.8 and 21 nM for HSP90α and HSP90β, respectively[1].",C26H31N3O5,DMSO : ≥ 62 mg/mL (133.18 mM),10mM,Cancer,Phase 2,O=C(C1=NOC(C2=CC(C(C)C)=C(O)C=C2O)=C1C3=CC=C(CN4CCOCC4)C=C3)NCC
cancer cell growth,0,1,51,0,"{18758789, 35561222, 17363592, 11205897, 14521721, 24491405, 29670543, 9443985, 18949011, 32451092, 20428829, 34098465, 35166242, 35954337, 17096356, 22740901, 29440631, 20858281, 29791786, 23547054, 30341811, 27911862, 21999932, 31106493, 14978241, 30061636, 33200711, 36029643, 16688716, 23288781, 21207374, 34420045, 29321164, 22718289, 26138072, 22392697, 18346844, 19609950, 18769120, 24809702, 28381547, 28194669, 24518510, 21037555, 37108468, 11039477, 16604531, 9364215, 31088502, 26683769, 7809022}","{27259267, 35402244, 30308485, 35836809, 25999370, 30529546, 30996246, 33822745, 31253147, 29437725, 31250978, 36965420, 26586936, 31874106, 30933440, 32978368, 34353856, 36793283, 32522824, 26864203, 29133261, 35399501, 31934287, 23704919, 33257688, 35159127, 27158366, 34771678, 24391143, 35831279, 28137841}", ,,#N/A,,,,,,,pi3k,flavopiridol,HY-L025-1,C08,HY-10006,Flavopiridol (Hydrochloride),Alvocidib (Hydrochloride); L86-8275 (Hydrochloride); HMR-1275 (Hydrochloride),131740-09-5,438.3,Autophagy; CDK; HIV,Anti-infection; Autophagy; Cell Cycle/DNA Damage,"Flavopiridol Hydrochloride (Alvocidib Hydrochloride) is a broad inhibitor of CDK, competing with ATP to inhibit CDKs including CDK1, CDK2, CDK4 with IC50s of 30, 170, 100 nM, respectively.",C21H21Cl2NO5,DMF : 7.69 mg/mL (17.55 mM; Need ultrasonic); DMSO : ≥ 20 mg/mL (45.63 mM); H2O : ≥ 20 mg/mL (45.63 mM),10mM,Cancer,Phase 2,O=C1C2=C(C=C(C([C@]3([H])[C@H](O)CN(C)CC3)=C2OC(C4=CC=CC=C4Cl)=C1)O)O.[H]Cl
nude,0,0,50,0,"{12105858, 23076356, 24308485, 17363592, 3778442, 26500238, 20675343, 30342032, 15580305, 18949011, 29158292, 21890455, 23232026, 20631070, 16707615, 8609057, 10757026, 1499946, 12850474, 15639340, 17487403, 18413748, 25304374, 9024823, 12960962, 26753987, 9361092, 14559813, 18349132, 16688716, 18089810, 20068565, 12806617, 15591514, 24894173, 22710877, 11526239, 18027870, 17911264, 22066019, 25305448, 21364589, 7641198, 10415855, 25050737, 10822130, 24561527, 26439801, 25434366, 22900095}","{34591491, 30308485, 31712391, 26067464, 31905936, 33407504, 34326687, 35720479, 35135529, 27256375, 32528891, 30933440, 37201092, 32099528, 37035213, 32640974, 26919247, 34586831, 31324754, 32992343, 28766687, 34876902, 27044328, 29246955, 33858423, 35831279, 33230453, 25065590, 30988278, 23374840, 31523195}", ,,#N/A,,,,,,,pi3k,sirolimus,HY-L025-7,D11,HY-10219,Rapamycin,Sirolimus; AY-22989,53123-88-9,914.17,Antibiotic; Autophagy; Bacterial; Endogenous Metabolite; FKBP; Fungal; mTOR,Anti-infection; Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; PI3K/Akt/mTOR,"Rapamycin (Sirolimus; AY 22989) is a potent and specific mTOR inhibitor with an IC50 of 0.1 nM in HEK293 cells. Rapamycin binds to FKBP12 and specifically acts as an allosteric inhibitor of mTORC1[1]. Rapamycin is an autophagy activator, an immunosuppressant[2].",C51H79NO13,DMSO : 125 mg/mL (136.74 mM; Need ultrasonic); Ethanol : 50 mg/mL (54.69 mM; Need ultrasonic),10mM,Cancer,Launched,O=C([C@@]1(O)[C@@H](CC[C@@H](C[C@@H](/C(C)=C/C=C/C=C/[C@H](C[C@@H](C)C([C@@H]([C@@H](/C(C)=C/[C@H]2C)O)OC)=O)C)OC)O1)C)C(N3CCCC[C@H]3C(O[C@@H](CC2=O)[C@@H](C[C@H]4C[C@H]([C@H](O)CC4)OC)C)=O)=O
notch,0,1,47,0,"{24875648, 21673986, 28141826, 21285251, 31276933, 26279302, 26909576, 33693707, 19028876, 25117068, 36686732, 32382352, 22751123, 25698580, 19208345, 33946266, 33268505, 35018527, 24216479, 27610015, 17591971, 23284900, 35279012, 26369833, 17982507, 19440048, 21819318, 20484026, 28551612, 30278076, 22056382, 25152585, 26185420, 25416148, 27764699, 22806240, 24878567, 35493099, 25050737, 26984178, 28981109, 19249398, 29414775, 22359542, 35242873, 34657147, 32424701}","{35215234, 24930440, 35943053, 28684431, 34540687, 27148573, 35196077, 36768307, 28820917, 26829750, 27322055, 36731467, 25369933, 34617061, 31059052, 31281517, 26115193, 26683772, 34415102}", ,,dapt,,,,,,,pi3k,a66,HY-L025-33,F04,HY-13261,A66,,1166227-08-2,393.53,PI3K,PI3K/Akt/mTOR,A66 is a highly specific and selective p110α inhibitor with an IC50 of 32 nM.,C17H23N5O2S2,DMSO : 50 mg/mL (127.06 mM; Need ultrasonic),10mM,Cancer,No Development Reported,CC(C)(C1=NC(C2=C(N=C(S2)NC(N3[C@@H](CCC3)C(N)=O)=O)C)=CS1)C
tumour suppressor,0,2,42,0,"{29364867, 9438601, 10660490, 23598351, 31534224, 25596178, 18266003, 15051286, 24305049, 9641882, 10909469, 18525343, 31300513, 33099938, 12079267, 11169959, 32929194, 32778157, 7730480, 24280502, 16823993, 10436800, 36621763, 30061636, 34099908, 1964102, 34057028, 10505546, 34244683, 16549328, 14743890, 32541781, 31154393, 32010971, 37105116, 26497117, 23408353, 22699621, 10436842, 34039665, 36118392, 11520255}","{25119042, 27957794, 31929348, 30940648, 20228809, 26416749, 22864638, 32771023, 35869742, 36333293, 35132755, 28927100, 32355326, 29915391}", ,,#N/A,,,,,,,pi3k,odq,HY-L025-5,B07,HY-101255,ODQ,,41443-28-1,187.15,Apoptosis; Guanylate Cyclase,Apoptosis; GPCR/G Protein,"ODQ is a potent and selective soluble guanylyl cyclase (sGC, nitric oxide-activated enzyme) inhibitor. ODQ enhances the pro-apoptotic effects of Cisplatin in human mesothelioma cells[1].",C9H5N3O2,DMSO : 100 mg/mL (534.33 mM; Need ultrasonic),10mM,Cancer,No Development Reported,O=C1ON=C2N1C3=C(C=CC=C3)N=C2
d1,0,1,39,0,"{18805632, 16146690, 26947075, 12021893, 22118662, 15652748, 24520077, 23019409, 25698580, 20642839, 23308056, 20682659, 28961832, 11102889, 20858281, 22393391, 19639215, 19125423, 27624879, 24608432, 24389175, 11522750, 23237571, 17520196, 15572689, 29059158, 17667542, 17569628, 25632222, 16382049, 25632225, 24076388, 21084261, 11159909, 20717927, 11751405, 25050737, 20113529, 22287227}","{34974082, 32828291, 30308485, 27440272, 32774672, 30272279, 34236185, 16475162, 32975004, 32371868, 28663582, 29596834, 30135075, 34199844, 27858214, 19244327, 37197608, 32954665, 34634662, 28059436, 31114028, 32163373, 30529073, 31857841, 34519605, 18406326, 26586936, 32771387, 30933440, 22595521, 31531200, 32978368, 32678475, 29133261, 29725006, 17998543, 27572308, 25277525, 35007061, 36284375, 29866840, 32110043, 31036508, 33531996, 27520485, 29050985, 35472745, 35831279, 29545201, 32551032}", ,,flupenthixol,,,,,,,pi3k,sinomenine,HY-L025-49,E09,HY-15122,Sinomenine,,115-53-7,329.39,Apoptosis; Autophagy; NF-κB; Opioid Receptor,Apoptosis; Autophagy; GPCR/G Protein; Neuronal Signaling; NF-κB,"Sinomenine, an alkaloid extracted from?Sinomenium acutum, is a blocker of the NF-κB activation[1]. Sinomenine also is an activator of μ-opioid receptor[2].",C19H23NO4,DMSO : 50 mg/mL (151.80 mM; Need ultrasonic); 1M HCl : 25 mg/mL (75.90 mM; ultrasonic and adjust pH to 1 with HCl),10mM,Cancer; Inflammation/Immunology; Neurological Disease,Launched,OC(C1=C2C[C@@]3([H])[C@](C=C4OC)([H])[C@@]1(CCN3C)CC4=O)=C(C=C2)OC
