a_count	a_term	ab_count	ab_pmid_intersection	ab_pred_score	ab_pvalue	ab_sort_ratio	b_count	b_term	total_count
339882	Breast Cancer	20	[30786188, 32529410, 33168656, 33070624, 32563561, 32319232, 31189048, 33475293, 32713217, 34225076, 34176192, 34457184, 34320447, 33475287, 30827748, 34761708, 35728046, 31189049, 34807017, 35404158]	1.115876968304966	3.730261152716349e-38	0.8695652173913043	23	sacituzumab govitecan-hziy	36691282
339882	Breast Cancer	45	[26164151, 28473534, 26162914, 31852484, 31426673, 33513026, 32661909, 32912274, 31602686, 37888769, 38039056, 37146385, 36446866, 34694932, 36517522, 37046675, 38169749, 37004700, 37580832, 37060385, 36905762, 34798371, 35348779, 33589422, 38001722, 37314500, 34906954, 38211404, 37551949, 36229710, 36993871, 35584336, 37191763, 37871699, 35923930, 38102750, 35621343, 36341983, 37485921, 37983586, 36877283, 37143269, 36000362, 37318638, 37364222]	1.2581983905706855	3.998709419019635e-84	0.8653846153846154	52	elacestrant dihydrochloride	36691282
339882	Breast Cancer	38	[28119295, 33480963, 32368385, 31656319, 33238772, 32487035, 33761116, 34115243, 34077236, 33447230, 31175130, 36729856, 34967814, 36397195, 35640077, 35035535, 36332179, 34916216, 36159262, 37170847, 24892840, 37878202, 36730303, 35892030, 36612034, 35418312, 35509453, 37409110, 34992090, 34829916, 36224475, 37428332, 34586103, 37046648, 36272249, 34159226, 36279803, 35024766]	1.208939798946408	3.254205241919564e-68	0.7916666666666666	48	margetuximab-cmkb	36691282
339882	Breast Cancer	1206	[22149875, 22153890, 25693012, 19346299, 24269963, 23602601, 28581356, 16322262, 23704196, 18632642, 20124182, 15059883, 19934333, 19884552, 27179402, 22003071, 31825569, 27939064, 21342044, 24799465, 19701706, 28259011, 25332247, 15634652, 28056202, 26869049, 21478264, 23563986, 22393084, 29175149, 31548601, 30217672, 17470737, 21324925, 27964843, 24656976, 17168718, 17208435, 20696930, 23940356, 22161825, 20124183, 24097864, 32171426, 24360619, 24080156, 18451236, 24685829, 26824988, 26578067, 38233810, 38216995, 38212845, 38212321, 38206277, 38204446, 38203378, 38201451, 38175448, 38163142, 38155921, 38149099, 38147816, 38127177, 38098054, 38093840, 38054134, 38047578, 38031361, 38028581, 38022643, 38021854, 38016718, 38007349, 37995519, 37978197, 37957717, 37944341, 37936380, 37924622, 37916639, 37905688, 37887554, 37878202, 37865065, 37863404, 37851942, 37846468, 37833451, 37812963, 37794585, 37783133, 37773875, 37769528, 37754495, 37741900, 37726862, 37723497, 37715853, 37670619]	2.0	0.0	0.7815942968243681	1543	pertuzumab	36691282
339882	Breast Cancer	518	[27717303, 27030077, 29860922, 29804902, 31166679, 29718092, 25941111, 27017286, 31826360, 29236940, 28580868, 30508677, 30914635, 28249908, 30478914, 26995305, 32145796, 28741274, 30631751, 28438180, 25876993, 27336726, 32183020, 31477350, 27493615, 31594766, 30959874, 26303211, 30806829, 28706010, 31494037, 30202447, 29164421, 31178407, 28680952, 30840889, 31838010, 26896604, 28359238, 29654415, 30287548, 29784737, 30148117, 30442649, 29437768, 28453226, 28961554, 29933034, 29847850, 28417244, 38212842, 38162489, 38161904, 38154393, 38127209, 38112006, 38110309, 38107828, 38107071, 38102891, 38046373, 38030174, 38003555, 37974598, 37958959, 37958338, 37958308, 37954071, 37950646, 37943359, 37939142, 37899576, 37895916, 37895811, 37841752, 37838584, 37800838, 37786535, 37768209, 37760527, 37760421, 37759823, 37757816, 37741900, 37734262, 37711177, 37696610, 37692847, 37690320, 37683369, 37673211, 37653504, 37653397, 37594723, 37586898, 37580773, 37555416, 37533590, 37524106, 37511548]	2.0	0.0	0.7719821162444114	671	ribociclib	36691282
339882	Breast Cancer	547	[28580882, 28968163, 27030077, 27217383, 28533223, 31563959, 25941111, 27017286, 29539425, 28580868, 30675515, 26149830, 30508677, 30478914, 26995305, 29232554, 32954927, 32145796, 28741274, 30631751, 28438180, 25876993, 29050219, 32183020, 31477350, 27493615, 30959874, 26303211, 32353342, 30806829, 28706010, 31494037, 25716100, 30202447, 31178407, 31615937, 29497278, 26896604, 28359238, 30287548, 29784737, 30148117, 29483214, 27312735, 29059158, 28453226, 28961554, 29933034, 29847850, 31482107, 38216158, 38212842, 38198366, 38194616, 38192142, 38130622, 38114413, 38112006, 38110309, 38102891, 38090281, 38072513, 38030174, 38018862, 38012661, 38009308, 38003483, 37993606, 37992977, 37983610, 37974598, 37971418, 37958338, 37954071, 37935631, 37916183, 37906649, 37895916, 37895811, 37889120, 37841752, 37838584, 37818798, 37811343, 37800838, 37788154, 37775689, 37768209, 37760527, 37760421, 37759823, 37752406, 37741900, 37735004, 37734262, 37725704, 37711177, 37709297, 37653504, 37637230]	2.0	0.0	0.7472677595628415	732	abemaciclib	36691282
339882	Breast Cancer	1525	[22149876, 15639680, 12090977, 19213681, 11078488, 18083636, 16084253, 11078487, 17993229, 28968163, 21087898, 19786670, 14584060, 20212256, 15998903, 12177099, 17228000, 11821457, 12177098, 23816962, 18812550, 18180462, 24333009, 21641868, 16009955, 18227529, 21555689, 29804902, 8683230, 15814851, 8883419, 16887480, 27908454, 22853014, 18718815, 18309940, 19389994, 15514369, 16869719, 15767642, 17159195, 8814682, 16598749, 24347518, 11157042, 15701892, 19704066, 18073378, 23835710, 20547990, 38236590, 38231060, 38216158, 38191454, 38095411, 38070530, 38034139, 38018850, 37991939, 37935461, 37931898, 37927591, 37895916, 37895811, 37888769, 37843087, 37831547, 37793784, 37777685, 37749673, 37741273, 37684548, 37678330, 37657462, 37638281, 37628558, 37555303, 37477917, 37446555, 37415453, 37364217, 37275963, 37182538, 37173983, 37079878, 37046348, 37021486, 37005533, 36992863, 36985460, 36984892, 36941628, 36932156, 36925985, 36859649, 36823967, 36814497, 36760158, 36756000, 36745260]	2.0	0.0	0.7468168462291871	2042	anastrozole	36691282
339882	Breast Cancer	164	[24269963, 24967516, 28259011, 26606967, 26766593, 28361465, 24879797, 24656976, 29414262, 24360619, 24423577, 30150398, 25025958, 27259714, 25191794, 31637013, 26631267, 30852761, 28757155, 26411409, 29955792, 27298406, 28108597, 24488143, 26547932, 25568875, 25342987, 24682654, 33480963, 26712117, 31267973, 33088681, 26799352, 31563805, 30665463, 28764748, 28923217, 27114895, 26557900, 25082874, 28236776, 32061303, 27872093, 24929675, 32217612, 31442103, 32223669, 26194424, 28969087, 28056739, 37879711, 37715853, 37686651, 37569276, 37486557, 37358705, 37326930, 37251081, 37207306, 37206431, 37120151, 37007133, 36986616, 36815700, 36605044, 36539672, 36382554, 36377026, 36360302, 36224475, 36220724, 36108260, 35909271, 35763704, 35587323, 35544899, 35405660, 35140078, 35130504, 35104102, 35040682, 35021198, 35016513, 34999427, 34956441, 34953200, 34912725, 34741023, 34638369, 34380530, 34365852, 34349115, 34213636, 34194883, 34154926, 34151896, 34120223, 34045233, 33937626, 33843838]	1.8467751112441133	3.1019805340944376e-274	0.703862660944206	233	ado-trastuzumab emtansine	36691282
339882	Breast Cancer	364	[23220880, 20142587, 26874901, 29146401, 21342044, 19318484, 27406346, 31548601, 30500458, 24323026, 27078022, 30860945, 27304190, 26834058, 24009064, 28679771, 23953056, 32678716, 24044505, 22967996, 25287822, 29787356, 30531871, 26609467, 22491935, 23084121, 28274957, 23632474, 29881714, 23692263, 28487443, 24655723, 19780706, 32919527, 24077916, 22824822, 25153719, 26358790, 26089701, 27597738, 22015288, 27697991, 29784737, 21330148, 22006669, 28884417, 29523624, 30442649, 21826647, 29564326, 38158791, 38155921, 38152647, 38137355, 37983586, 37954171, 37921670, 37918494, 37910519, 37878202, 37863404, 37803271, 37760491, 37715853, 37711177, 37621688, 37608657, 37605877, 37597578, 37596261, 37583664, 37474374, 37428332, 37404061, 37272756, 37269887, 37200287, 37196833, 37156650, 37054526, 37012157, 36995527, 36937848, 36898233, 36875913, 36854521, 36809986, 36759982, 36752338, 36702070, 36627899, 36578543, 36445532, 36384768, 36379662, 36331675, 36279803, 36224475, 36046364, 35983608]	2.0	0.0	0.7013487475915221	519	neratinib maleate	36691282
339882	Breast Cancer	8477	[11248153, 15894097, 11252954, 16236738, 16236737, 11821453, 17192538, 21709140, 17157791, 23020162, 24529560, 23917950, 21991949, 22149875, 15324695, 22153890, 17936563, 15911866, 11426640, 17208639, 25693012, 16495393, 12610629, 19010901, 25939896, 11870163, 22257673, 19874578, 15738535, 18422971, 16151408, 20113825, 19346299, 24608200, 11752009, 18347005, 16452222, 17675394, 30516102, 24269963, 20124187, 16683005, 11984589, 23602601, 18829560, 11406546, 18413639, 17993229, 28581356, 17440164, 38235874, 38233810, 38230288, 38219531, 38219442, 38217532, 38216995, 38215985, 38214896, 38212845, 38212321, 38211404, 38206277, 38205044, 38204446, 38203393, 38203378, 38201547, 38201451, 38185807, 38184611, 38183152, 38181290, 38180137, 38175448, 38175349, 38170550, 38170192, 38167224, 38167105, 38163935, 38163142, 38155921, 38152647, 38149099, 38147816, 38145267, 38145113, 38144136, 38139837, 38139459, 38135156, 38135153, 38132657, 38132377, 38127215, 38127177, 38118373, 38117494, 38114991]	2.0	0.0	0.6672176308539944	12705	trastuzumab	36691282
