C_term	B_term	Prediction Score	FET p value	ratio	B_term count	C_term count	B_C_counts	db total
SAFFLOWER OIL	diet	2.00000	0.00000	0.57143	58989	504	288	9451155
SAFFLOWER OIL	absorption	0.27291	5.93722e-20	0.06151	63595	504	31	9451155
SAFFLOWER OIL	nutrition	0.20655	5.51491e-19	0.04365	27262	504	22	9451155
SOYBEAN OIL	diet	1.84936	4.53243e-275	0.38057	58989	494	188	9451155
SOYBEAN OIL	nutrition	0.24325	6.55719e-23	0.05061	27262	494	25	9451155
SOYBEAN OIL	absorption	0.13975	7.61947e-08	0.03441	63595	494	17	9451155
RANITIDINE	healing	1.62505	0.00000	0.16968	24294	2375	403	9451155
RANITIDINE	bleeding	0.28551	8.47118e-55	0.03453	30415	2375	82	9451155
RANITIDINE	absorption	0.23744	1.99178e-36	0.03705	63595	2375	88	9451155
RANITIDINE	sex	0.09153	1.37341e-08	0.01979	73023	2375	47	9451155
RANITIDINE	mucosal inflammation	0.03382	2.30993e-09	0.00211	198	2375	5	9451155
OLIVE OIL	diet	1.61746	2.00686e-261	0.21422	58989	1041	223	9451155
OLIVE OIL	absorption	0.26935	6.83629e-30	0.05187	63595	1041	54	9451155
OMEPRAZOLE	healing	1.56507	5.00435e-290	0.18057	24294	1091	197	9451155
OMEPRAZOLE	absorption	0.16049	4.19482e-15	0.03391	63595	1091	37	9451155
OMEPRAZOLE	bleeding	0.10121	2.67505e-11	0.02016	30415	1091	22	9451155
OMEPRAZOLE	mucosal healing	0.03347	1.51076e-08	0.00275	40	1091	3	9451155
FERROUS	absorption	1.50865	0.00000	0.14043	63595	2706	380	9451155
FERROUS	diet	0.21967	2.27408e-35	0.03289	58989	2706	89	9451155
TESTOSTERONE	sex	1.49886	0.00000	0.13792	73023	24188	3336	9451155
TESTOSTERONE	linear growth	0.09171	6.51370e-29	0.00132	709	24188	32	9451155
TESTOSTERONE	diet	0.06890	4.58357e-12	0.01000	58989	24188	242	9451155
TESTOSTERONE	weight loss	0.05472	2.66923e-15	0.00285	8807	24188	69	9451155
TESTOSTERONE	cell activity	0.03304	2.01273e-09	0.00182	6028	24188	44	9451155
VITAMIN E	diet	1.49716	0.00000	0.13749	58989	6117	841	9451155
VITAMIN E	nutrition	0.36855	1.54992e-91	0.02567	27262	6117	157	9451155
VITAMIN E	absorption	0.20121	6.08203e-39	0.02436	63595	6117	149	9451155
VITAMIN E	nutritional status	0.16488	6.84534e-45	0.00834	4453	6117	51	9451155
VITAMIN E	pathogenesis	0.07396	3.84692e-10	0.01324	57792	6117	81	9451155
DESMOPRESSIN	bleeding	1.48743	3.63730e-158	0.26302	30415	384	101	9451155
ESTRADIOL	sex	1.36321	0.00000	0.10242	73023	21568	2209	9451155
ESTRADIOL	bleeding	0.32646	3.60323e-91	0.01372	30415	21568	296	9451155
ESTRADIOL	diet	0.14596	5.72854e-33	0.01363	58989	21568	294	9451155
ESTRADIOL	enterohepatic circulation	0.04074	6.25948e-13	0.00088	883	21568	19	9451155
ESTRADIOL	weight loss	0.03217	1.34787e-08	0.00232	8807	21568	50	9451155
ESTRADIOL	linear growth	0.01742	7.50359e-06	0.00046	709	21568	10	9451155
TESTOSTERONE PROPIONATE	sex	1.30850	8.18071e-255	0.14380	73023	1975	284	9451155
CIMETIDINE	healing	1.30202	0.00000	0.08593	24294	6866	590	9451155
CIMETIDINE	bleeding	0.57689	9.68122e-150	0.03379	30415	6866	232	9451155
CIMETIDINE	absorption	0.28366	6.63870e-61	0.02855	63595	6866	196	9451155
