Date	A Term	A Count	B Term	B Count	AB Count	AB PMIDS	AB Pred Score	AB Pvalue	AB Sort Ratio	Total_count
1998	autism	2799	vaccine|vaccines|vaccination|vaccinal	70848	26	[9500320, 9643797, 9880088, 1036494, 9529392, 9525390, 9525393, 9525394, 9525395, 9643818, 9525396, 9643816, 9643817, 9643819, 9525391, 9525392, 9592960, 9624080, 9643815, 9643820, 9643821, 9643822, 9652941, 9643823, 9652942, 944354]	0.0077564818095772975	0.007819447300189037	0.0003669828364950316	12939925
1999	autism	3067	vaccine|vaccines|vaccination|vaccinal	75926	33	[9500320, 10376617, 9643797, 10489978, 9880088, 1036494, 9529392, 9525390, 10731332, 9525393, 9525394, 10067748, 10373156, 9525395, 9643818, 9525396, 9643816, 9643817, 9643819, 9525391, 9525392, 9592960, 9624080, 9643815, 9643820, 9643821, 9643822, 10731330, 9652941, 9643823, 9652942, 944354, 10489979]	0.011683093604417591	0.000499299251397472	0.0004346337223085636	13431541
2000	autism	3387	vaccine|vaccines|vaccination|vaccinal	81522	44	[9500320, 10376617, 10648110, 9643797, 10759242, 10489978, 11224968, 11015547, 9880088, 1036494, 9529392, 10867750, 9525390, 10731332, 10743285, 10681219, 9525393, 9525394, 10067748, 10373156, 10665582, 9525395, 9643818, 9525396, 9643816, 9643817, 9643819, 9525391, 9525392, 9592960, 11211531, 9624080, 9643815, 9643820, 9643821, 9643822, 10731330, 11211528, 9652941, 9643823, 10967744, 9652942, 944354, 10489979]	0.01974830661544961	1.6123573765607898e-06	0.0005397316061921936	13983238
2001	autism	3818	vaccine|vaccines|vaccination|vaccinal	87198	63	[9500320, 10376617, 11222420, 10648110, 11581466, 11339848, 9643797, 11395196, 10759242, 10489978, 11331734, 11154622, 11224968, 11015547, 9880088, 1036494, 9529392, 10867750, 9525390, 11231881, 10731332, 10743285, 11461171, 11700148, 10681219, 9525393, 9525394, 11368715, 10067748, 10373156, 10665582, 9525395, 9643818, 11469172, 9525396, 11338656, 9643816, 9643817, 9643819, 11734770, 11463692, 9525391, 9525392, 9592960, 11211531, 9624080, 9643815, 9643820, 9643821, 9643822, 11484720, 10731330, 11211528, 11398299, 11484721, 9652941, 12813588, 11699370, 9643823, 10967744, 9652942, 944354, 10489979]	0.03789906751583275	3.493994378566497e-12	0.0007224936351751187	14520778
2002	autism	4316	vaccine|vaccines|vaccination|vaccinal	93256	90	[9500320, 10376617, 12421889, 12216059, 11222420, 11850369, 10648110, 11581466, 11339848, 9643797, 11395196, 12415036, 10759242, 10489978, 11331734, 11154622, 11224968, 12199139, 11015547, 9880088, 1036494, 9529392, 12045734, 10867750, 12484693, 9525390, 11231881, 10731332, 10743285, 12456546, 12530114, 12030991, 11461171, 12142932, 11700148, 12142951, 9525393, 12056873, 10681219, 9525394, 11368715, 12269839, 12427783, 12523209, 10067748, 12208154, 10373156, 10665582, 20046442, 9525395, 9643818, 12142944, 12142950, 11469172, 9525396, 12901574, 12904145, 11734770, 9643816, 9643817, 9643819, 11338656, 11463692, 9525391, 9525392, 9624080, 11484720, 12048476, 9592960, 11211531, 9643815, 9643820, 9643821, 9643822, 10731330, 11484721, 11398299, 12901553, 9652941, 11211528, 16940633, 10489979, 11699370, 10967744, 9652942, 944354, 12523275, 12813588, 9643823, 12455213]	0.06975547415890784	3.290909248493282e-22	0.0009650853564381916	15096257
2003	autism	4827	vaccine|vaccines|vaccination|vaccinal	100205	126	[9500320, 10376617, 12421889, 12216059, 11222420, 11850369, 10648110, 11581466, 11339848, 14595043, 14519711, 12949291, 9643797, 11395196, 12880876, 12415036, 10759242, 10489978, 12876158, 11331734, 12773696, 12145534, 12922137, 11154622, 11224968, 12199139, 12922131, 11015547, 9880088, 14604564, 14580127, 1036494, 9529392, 12045734, 10867750, 12849883, 14695031, 12484693, 9525390, 11231881, 10731332, 10743285, 12583844, 12456546, 12530114, 12030991, 11461171, 12142932, 12808372, 12839113, 11700148, 12142951, 9525393, 12913832, 10681219, 12056873, 9525394, 12622119, 12721397, 11368715, 12269839, 12944678, 12427783, 12523209, 10067748, 12208154, 10373156, 15146581, 12724845, 10665582, 12622123, 20046442, 9525395, 9643818, 12622124, 12142944, 12142950, 11469172, 12970526, 9525396, 12901574, 12904145, 11734770, 9643816, 9643817, 9643819, 11338656, 11463692, 12940381, 9525391, 9525392, 14700273, 9624080, 11484720, 12048476, 9592960, 11211531, 9643815, 9643820, 9643821]	0.12051059207928483	2.7616377585069507e-38	0.00125742228431715	15725045
2004	autism	5472	vaccine|vaccines|vaccination|vaccinal	107539	164	[9500320, 15121991, 10376617, 12421889, 12216059, 11222420, 11850369, 10648110, 11581466, 11339848, 14595043, 14519711, 15342825, 12949291, 15364187, 12933322, 15342856, 9643797, 11395196, 15184908, 12880876, 12415036, 10759242, 15113435, 15184221, 10489978, 12876158, 11331734, 14754936, 12773696, 12145534, 12922137, 11154622, 11224968, 12199139, 12922131, 11015547, 9880088, 14604564, 14580127, 1036494, 9529392, 15514229, 15259839, 14976450, 12045734, 10867750, 15082108, 14761240, 12849883, 14695031, 14534046, 15568260, 12484693, 9525390, 11231881, 15249304, 16808699, 10731332, 10743285, 12583844, 15014558, 15165669, 12456546, 12530114, 12030991, 11461171, 12142932, 12808372, 12839113, 15366972, 11700148, 12142951, 9525393, 12913832, 10681219, 12056873, 9525394, 12721397, 11368715, 12269839, 12944678, 12622119, 15215496, 12427783, 14722135, 14722136, 12523209, 10067748, 12208154, 10373156, 15146581, 12724845, 10665582, 12622123, 15446387, 15575416, 15173555, 20046442, 9525395]	0.1741184445100397	2.610865598189388e-55	0.0015250281293298245	16370140
2005	autism	6161	vaccine|vaccines|vaccination|vaccinal	115044	186	[9500320, 15121991, 10376617, 21783611, 12421889, 12216059, 11222420, 11850369, 10648110, 11581466, 11339848, 16512356, 14595043, 14519711, 15804954, 15342825, 16264412, 15998608, 12949291, 15364187, 12933322, 15342856, 15877763, 9643797, 11395196, 15184908, 12880876, 12415036, 10759242, 15113435, 15184221, 10489978, 12876158, 11331734, 14754936, 12773696, 16235361, 12145534, 12922137, 11154622, 11224968, 16282928, 15816809, 12199139, 12922131, 11015547, 9880088, 14604564, 14580127, 15795695, 1036494, 9529392, 15514229, 15259839, 14976450, 12045734, 10867750, 15082108, 14761240, 12849883, 14695031, 14534046, 15568260, 15886167, 12484693, 9525390, 11231881, 15249304, 16808699, 10731332, 10743285, 15764492, 12583844, 15780490, 15014558, 15165669, 12456546, 15723921, 12530114, 12030991, 11461171, 12142932, 12808372, 12839113, 15366972, 11700148, 12142951, 9525393, 15316135, 12913832, 10681219, 12056873, 16003130, 9525394, 12721397, 11368715, 12269839, 12944678, 12622119, 15215496]	0.19251997432774715	3.739878775243888e-61	0.0016167727130489205	17025946
2006	autism	6995	vaccine|vaccines|vaccination|vaccinal	123158	214	[9500320, 15121991, 10376617, 21783611, 12421889, 12216059, 11222420, 16327577, 11850369, 10648110, 11581466, 11339848, 16512356, 14595043, 14519711, 15804954, 15342825, 16264412, 15998608, 12949291, 15364187, 12933322, 16157422, 15342856, 15877763, 9643797, 11395196, 15184908, 12880876, 12415036, 10759242, 16685178, 15113435, 15184221, 16729252, 16564116, 10489978, 16352657, 12876158, 11331734, 14754936, 12773696, 16235361, 12145534, 12922137, 16547798, 11154622, 17168158, 11224968, 16807526, 16282928, 15816809, 12199139, 16207728, 12922131, 11015547, 9880088, 14604564, 14580127, 15795695, 1036494, 9529392, 15514229, 15259839, 17015560, 14976450, 12045734, 10867750, 15082108, 14761240, 12849883, 14695031, 14534046, 17181438, 15568260, 15886167, 12484693, 16555271, 9525390, 11231881, 15249304, 16808699, 10731332, 10743285, 15764492, 16452357, 12583844, 16766480, 16919130, 15780490, 16771783, 16870260, 16733480, 15014558, 15165669, 12456546, 15723921, 12530114, 12030991, 11461171]	0.21711412396912896	5.759170905514201e-69	0.0017376053524740577	17712319
2007	autism	8020	vaccine|vaccines|vaccination|vaccinal	131722	234	[9500320, 15121991, 10376617, 21783611, 12421889, 12216059, 11222420, 16327577, 11850369, 10648110, 11581466, 11339848, 16512356, 14595043, 17898097, 14519711, 15804954, 15342825, 16264412, 15998608, 12949291, 15364187, 12933322, 16157422, 15342856, 15877763, 9643797, 11395196, 15184908, 12880876, 12415036, 10759242, 16685178, 15113435, 17448359, 15184221, 16729252, 16564116, 10489978, 17395344, 16352657, 12876158, 11331734, 14754936, 12773696, 16235361, 12145534, 12922137, 16547798, 11154622, 17928818, 17168158, 11224968, 16807526, 16282928, 15816809, 12199139, 16207728, 12922131, 11015547, 9880088, 17454560, 14604564, 14580127, 15795695, 1036494, 9529392, 15514229, 15259839, 17015560, 14976450, 17540488, 12045734, 10867750, 15082108, 14761240, 12849883, 14695031, 14534046, 17181438, 15568260, 15886167, 12484693, 16555271, 9525390, 16865547, 11231881, 15249304, 17351489, 16808699, 10731332, 10743285, 15764492, 17898095, 16452357, 12583844, 16766480, 16919130, 15780490, 16771783]	0.21834478531300783	2.5417093223527514e-69	0.0017764686233127343	18431136
