Date	A Term	A Count	B Term	B Count	AB Count	AB PMIDS	AB Pred Score	AB Pvalue	AB Sort Ratio	Total_count
1975	cervical cancer	1079	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	4640	21	[4345508, 4352374, 165303, 169365, 168937, 4338534, 174969, 1053388, 190133, 4323159, 4370984, 4368434, 5475842, 4352394, 191382, 4350736, 191383, 5100514, 4376680, 4372969, 180730]	0.07502962155280493	4.903181946537111e-20	0.004525862068965518	4510049
1976	cervical cancer	1192	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	5263	30	[4345508, 179694, 4352374, 56227, 766960, 165303, 175946, 176115, 169365, 175945, 176392, 168937, 61533, 4338534, 174969, 1053388, 190133, 4323159, 186361, 4370984, 4368434, 5475842, 4352394, 191382, 4350736, 191383, 5100514, 4376680, 4372969, 180730]	0.11078278149334206	2.6530764931343185e-30	0.005700171005130154	4766496
1977	cervical cancer	1302	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	5902	37	[4345508, 179694, 4352374, 56227, 766960, 165303, 192436, 175946, 176115, 169365, 175945, 176392, 168937, 195975, 192072, 61533, 190174, 4338534, 200570, 192689, 174969, 1053388, 190133, 4323159, 186361, 4370984, 4368434, 5475842, 4352394, 191382, 4350736, 191383, 201227, 5100514, 4376680, 4372969, 180730]	0.1363896496279904	5.944494795258549e-38	0.00626906133514063	5029857
1978	cervical cancer	1400	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	6528	44	[4345508, 205904, 179694, 4352374, 56227, 766960, 165303, 192436, 214407, 175946, 176115, 169365, 175945, 176392, 168937, 195975, 192072, 61533, 190174, 200570, 4338534, 192689, 710808, 174969, 1053388, 220150, 190133, 4323159, 101081, 186361, 4370984, 4368434, 5475842, 4352394, 191382, 4350736, 191383, 201227, 224426, 5100514, 4376680, 4372969, 213358, 180730]	0.1623344987308203	8.105985700157134e-46	0.006740196078431373	5304089
1979	cervical cancer	1509	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	7242	50	[4345508, 205904, 179694, 4352374, 56227, 766960, 165303, 192436, 214407, 175946, 176115, 169365, 175945, 176392, 168937, 195975, 231583, 223438, 192072, 61533, 190174, 200570, 4338534, 192689, 710808, 174969, 1053388, 220150, 190133, 4323159, 101081, 224356, 186361, 4370984, 4368434, 5475842, 4352394, 191382, 214612, 4350736, 191383, 201227, 228506, 224426, 5100514, 4376680, 4372969, 213358, 180730, 392575]	0.1816020441189677	7.322243027035664e-52	0.006904170118751726	5584524
1980	cervical cancer	1633	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	7984	57	[4345508, 205904, 179694, 4352374, 56227, 766960, 165303, 6254649, 192436, 214407, 175946, 176115, 169365, 175945, 176392, 168937, 6249764, 195975, 231583, 223438, 192072, 61533, 190174, 200570, 4338534, 192689, 6250079, 7219207, 710808, 174969, 1053388, 230645, 220150, 190133, 4323159, 101081, 224356, 186361, 4370984, 4368434, 5475842, 4352394, 191382, 214612, 4350736, 191383, 6247704, 201227, 228506, 224426, 6256973, 5100514, 4376680, 4372969, 213358, 180730, 392575]	0.20446330314285469	5.464221548699169e-59	0.007139278557114229	5866062
1981	cervical cancer	1778	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	8769	65	[4345508, 205904, 179694, 4352374, 56227, 766960, 165303, 6254649, 192436, 214407, 175946, 7263972, 176115, 169365, 175945, 176392, 168937, 6249764, 195975, 231583, 223438, 192072, 61533, 190174, 200570, 4338534, 192689, 6250079, 6941038, 7237368, 7219207, 710808, 174969, 1053388, 230645, 220150, 6271502, 190133, 4323159, 101081, 224356, 186361, 4370984, 4368434, 6273337, 5475842, 4352394, 191382, 214612, 4350736, 191383, 6247704, 201227, 228506, 6274212, 6267816, 224426, 6256973, 5100514, 6261479, 4376680, 4372969, 213358, 180730, 392575]	0.2303123833111234	4.8648504925318904e-67	0.007412475766906147	6150468
1982	cervical cancer	1909	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	9725	77	[6129466, 4345508, 205904, 179694, 4352374, 56227, 766960, 165303, 6254649, 6282116, 192436, 175946, 214407, 7263972, 176115, 175945, 169365, 176392, 168937, 6249764, 195975, 231583, 223438, 192072, 61533, 6286474, 190174, 4338534, 200570, 6250079, 192689, 6941038, 7237368, 7219207, 710808, 6277023, 174969, 1053388, 230645, 220150, 6271502, 224356, 190133, 6299862, 101081, 4323159, 4370984, 4368434, 6762291, 6273337, 186361, 5475842, 214612, 6280493, 4352394, 191382, 21286567, 6802172, 4350736, 6247704, 191383, 201227, 6299751, 4376680, 6289530, 6279319, 228506, 6274212, 224426, 6261479, 6256973, 213358, 392575, 6267816, 5100514, 4372969, 180730]	0.273671121246743	1.7179710513188956e-80	0.007917737789203084	6445073
1983	cervical cancer	2066	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	10794	83	[6129466, 4345508, 205904, 179694, 4352374, 56227, 766960, 165303, 6254649, 6282116, 192436, 175946, 214407, 7263972, 176115, 175945, 169365, 176392, 168937, 6249764, 195975, 231583, 223438, 192072, 61533, 6286474, 190174, 4338534, 200570, 6250079, 192689, 6300393, 6941038, 7237368, 7219207, 710808, 6277023, 6099637, 174969, 1053388, 230645, 220150, 6271502, 224356, 190133, 6299862, 101081, 4323159, 6681607, 4370984, 4368434, 6762291, 6273337, 186361, 5475842, 214612, 6280493, 4352394, 191382, 21286567, 6802172, 4350736, 6247704, 191383, 201227, 6299751, 4376680, 6289530, 6279319, 228506, 6274212, 224426, 6261479, 6256973, 213358, 6314363, 392575, 6267816, 6320579, 5100514, 4372969, 6310894, 180730]	0.28526711510218594	1.7366322761521293e-84	0.007689457105799518	6755556
1983	cervical cancer	2066	hpv|human papillomavirus	261	4	[6304740, 6282442, 6299907, 6305251]	0.06990323544774364	1.5478004473502617e-06	0.01532567049808429	6755556
