Date	A Term	A Count	B Term	B Count	AB Count	AB PMIDS	AB Pred Score	AB Pvalue	AB Sort Ratio	Total_count
1975	peptic ulcer	5834	psychological&stress	200	2	[13538220, 13009503]	0.038585234651894396	0.028117889091558972	0.01	4510049
1976	peptic ulcer	6119	psychological&stress	258	2	[13538220, 13009503]	0.03035845909771814	0.044011821193769	0.007751937984496124	4766496
1977	peptic ulcer	6383	psychological&stress	321	2	[13538220, 13009503]	0.024717006503430766	0.0634278906243843	0.006230529595015576	5029857
1978	peptic ulcer	6653	psychological&stress	379	2	[13538220, 13009503]	0.021136172752752362	0.08273049189828788	0.005277044854881266	5304089
1979	peptic ulcer	6890	psychological&stress	464	2	[13538220, 13009503]	0.017453830042437418	0.11283020914988133	0.004310344827586207	5584524
1980	peptic ulcer	7166	psychological&stress	557	3	[7388642, 13538220, 13009503]	0.022794066169341265	0.03170244374290069	0.005385996409335727	5866062
1981	peptic ulcer	7416	psychological&stress	633	3	[7388642, 13538220, 13009503]	0.020225536560103688	0.04217480667653561	0.004739336492890996	6150468
1982	peptic ulcer	7685	psychological&stress	732	3	[7388642, 13538220, 13009503]	0.01762512821788506	0.058339867263270936	0.004098360655737705	6445073
1983	peptic ulcer	7964	psychological&stress	855	3	[7388642, 13538220, 13009503]	0.015183756865670823	0.08164816639679011	0.0035087719298245615	6755556
1984	peptic ulcer	8315	bacteria&infection	3251	1	[6740211]	0.001063784163511941	0.9781805166509961	0.00030759766225776686	7073079
1984	peptic ulcer	8315	psychological&stress	977	4	[6378441, 7388642, 13538220, 13009503]	0.018533299527896827	0.02938007354154082	0.0040941658137154556	7073079
1985	peptic ulcer	8678	bacteria&infection	3653	2	[6740211, 4073078]	0.0019427451914377852	0.9270250262281432	0.0005474952094169176	7408101
1985	peptic ulcer	8678	psychological&stress	1104	4	[6378441, 7388642, 13538220, 13009503]	0.01645354632785309	0.0423131271945335	0.0036231884057971015	7408101
1986	peptic ulcer	9042	bacteria&infection	4050	3	[6740211, 4073078, 3813480]	0.0027094064621163367	0.849980124456593	0.0007407407407407407	7757586
1986	peptic ulcer	9042	psychological&stress	1248	6	[6378441, 3770362, 7388642, 3091469, 13538220, 13009503]	0.023685898661464828	0.003818813920079674	0.004807692307692308	7757586
1987	peptic ulcer	9443	bacteria&infection	4488	5	[3297911, 6740211, 4073078, 3813480, 3310428]	0.004441033312810641	0.5967874693439854	0.0011140819964349377	8124507
1987	peptic ulcer	9443	psychological&stress	1426	6	[6378441, 3770362, 7388642, 3091469, 13538220, 13009503]	0.020830965596339585	0.007072141546664305	0.004207573632538569	8124507
1988	peptic ulcer	9885	bacteria&infection	4960	5	[3297911, 6740211, 4073078, 3813480, 3310428]	0.003904423199340417	0.6822059122912261	0.0010080645161290322	8507506
1988	peptic ulcer	9885	psychological&stress	1599	6	[6378441, 3770362, 7388642, 3091469, 13538220, 13009503]	0.018594613428377992	0.011903090220745826	0.00375234521575985	8507506
1989	peptic ulcer	10340	bacteria&infection	5520	6	[3297911, 6740211, 4073078, 3813480, 3310428, 2734863]	0.004304633661338798	0.6171535421942919	0.0010869565217391304	8911583
1989	peptic ulcer	10340	psychological&stress	1845	6	[6378441, 3770362, 7388642, 3091469, 13538220, 13009503]	0.01607443089535986	0.0221086367049197	0.0032520325203252032	8911583
1990	peptic ulcer	10778	bacteria&infection	6085	9	[2181029, 3297911, 2388131, 6740211, 4073078, 3813480, 1983419, 3310428, 2734863]	0.0067088586981148765	0.2754749283930709	0.0014790468364831552	9321475
1990	peptic ulcer	10778	psychological&stress	2129	6	[6378441, 3770362, 7388642, 3091469, 13538220, 13009503]	0.013835022516126397	0.03939634283392162	0.0028182245185533112	9321475
1991	peptic ulcer	11246	bacteria&infection	6688	16	[2019355, 2181029, 3297911, 2388131, 6740211, 1782415, 2072787, 1759135, 4073078, 3813480, 1949918, 1983419, 3310428, 2734863, 2489238, 2094841]	0.01493174847414571	0.005992557998971389	0.0023923444976076554	9734824
1991	peptic ulcer	11246	psychological&stress	2419	7	[6378441, 3770362, 1888833, 7388642, 3091469, 13538220, 13009503]	0.014750619296390714	0.024096956944749955	0.0028937577511368336	9734824
1992	peptic ulcer	11594	bacteria&infection	7359	19	[2019355, 2181029, 3297911, 1563786, 2388131, 1455197, 6740211, 1782415, 2072787, 1519673, 1759135, 4073078, 3813480, 1949918, 1983419, 3310428, 2734863, 2489238, 2094841]	0.017820814595110222	0.0011239174411431345	0.0025818725370294875	10156146
1992	peptic ulcer	11594	psychological&stress	2706	11	[6378441, 3770362, 1506508, 1888833, 7388642, 3091469, 1557923, 1421562, 1459517, 13538220, 13009503]	0.024325482539740192	0.0003676427337262373	0.0040650406504065045	10156146
