Year	StatType	Terms	Statistic	P-Value	Additional Info
1990	ONLY1		hormone&therapy	NA	
1991	ONLY1		hormone&therapy	NA	
1992	ratio_of_ratios_FET_ratios_directly	"hormone&therapy,statin|statins"	0.555658412	0.430463262	Reporting FET on the AB hits and B totals. Probably CORRECT.
1992	ratio_of_ratios_zprop	"hormone&therapy,statin|statins"	-0.596480426	0.550854326	Reporting on z test of proportions.
1992	windowed_ratio_of_rat_or_int	"hormone&therapy,statin|statins"	1.391358025	NOTSURE	Small number of window hits make p-value calculation difficult.
1992	ratio_of_fet_stats	"hormone&therapy,statin|statins"	0.555253302	1	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 8.631798061105833-14.604136758596796    CI2: 1.4976431058829982-273.01501427882414 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99"
1992	ratio_of_pred_scores	"hormone&therapy,statin|statins"	3.271707542	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
1992	chisq		0	1	
1992	tost		-0.931492401	0.824200543	
1993	ratio_of_ratios_FET_ratios_directly	"hormone&therapy,statin|statins"	0.421669107	0.209086501	Reporting FET on the AB hits and B totals. Probably CORRECT.
1993	ratio_of_ratios_zprop	"hormone&therapy,statin|statins"	-1.258034733	0.208379195	Reporting on z test of proportions.
1993	windowed_ratio_of_rat_or_int	"hormone&therapy,statin|statins"	0.456521739	NOTSURE	Small number of window hits make p-value calculation difficult.
1993	ratio_of_fet_stats	"hormone&therapy,statin|statins"	0.417982264	1	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 9.597008866556653-15.270830878726391    CI2: 4.550371093163245-184.34698503976352 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99"
1993	ratio_of_pred_scores	"hormone&therapy,statin|statins"	2.736673896	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
1993	chisq		0.473311821	0.491467508	
1993	tost		-1.360043543	0.913091927	
1994	ratio_of_ratios_FET_ratios_directly	"hormone&therapy,statin|statins"	0.367224653	0.062396314	Reporting FET on the AB hits and B totals. Probably CORRECT.
1994	ratio_of_ratios_zprop	"hormone&therapy,statin|statins"	-2.077851694	0.037723021	Reporting on z test of proportions.
1994	windowed_ratio_of_rat_or_int	"hormone&therapy,statin|statins"	0.551470588	NOTSURE	Small number of window hits make p-value calculation difficult.
1994	ratio_of_fet_stats	"hormone&therapy,statin|statins"	0.361542864	1	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 10.343610768893758-15.71173676500068    CI2: 9.466267786044575-131.3402961152703 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99"
1994	ratio_of_pred_scores	"hormone&therapy,statin|statins"	2.541748241	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
1994	chisq		2.600714792	0.10681553	
1994	tost		-1.900348392	0.971306293	
1995	ratio_of_ratios_FET_ratios_directly	"hormone&therapy,statin|statins"	0.235198155	8.07E-05	Reporting FET on the AB hits and B totals. Probably CORRECT.
1995	ratio_of_ratios_zprop	"hormone&therapy,statin|statins"	-5.142075384	2.72E-07	Reporting on z test of proportions.
1995	windowed_ratio_of_rat_or_int	"hormone&therapy,statin|statins"	0.305610824	NOTSURE	Small number of window hits make p-value calculation difficult.
1995	ratio_of_fet_stats	"hormone&therapy,statin|statins"	0.224228562	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 11.785771566834553-17.002069516253524    CI2: 28.146700309688967-141.59582695115722 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
1995	ratio_of_pred_scores	"hormone&therapy,statin|statins"	1.715793073	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
1995	chisq		21.29501389	3.94E-06	
1995	tost		-4.331982473	0.999992611	
1996	ratio_of_ratios_FET_ratios_directly	"hormone&therapy,statin|statins"	0.244231692	4.55E-07	Reporting FET on the AB hits and B totals. Probably CORRECT.
1996	ratio_of_ratios_zprop	"hormone&therapy,statin|statins"	-6.51249569	7.39E-11	Reporting on z test of proportions.
1996	windowed_ratio_of_rat_or_int	"hormone&therapy,statin|statins"	0.48266129	NOTSURE	Small number of window hits make p-value calculation difficult.
1996	ratio_of_fet_stats	"hormone&therapy,statin|statins"	0.231421502	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 13.315414481231-18.3589058101096    CI2: 36.40926498341926-125.36668932704544 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
1996	ratio_of_pred_scores	"hormone&therapy,statin|statins"	1.877797461	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
1996	chisq		35.54709843	2.49E-09	
1996	tost		-5.378997679	0.999999963	
1997	ratio_of_ratios_FET_ratios_directly	"hormone&therapy,statin|statins"	0.244315177	1.43E-10	Reporting FET on the AB hits and B totals. Probably CORRECT.
1997	ratio_of_ratios_zprop	"hormone&therapy,statin|statins"	-8.250134944	1.58E-16	Reporting on z test of proportions.
1997	windowed_ratio_of_rat_or_int	"hormone&therapy,statin|statins"	0.417865254	NOTSURE	Small number of window hits make p-value calculation difficult.
