Year	StatType	Terms	Statistic	P-Value	Additional Info
1990	ONLY1		genetic predisposition	NA	
1991	ONLY1		genetic predisposition	NA	
1992	ONLY1		genetic predisposition	NA	
1993	ONLY1		genetic predisposition	NA	
1994	ONLY1		genetic predisposition	NA	
1995	ONLY1		genetic predisposition	NA	
1996	ONLY1		genetic predisposition	NA	
1997	ONLY1		genetic predisposition	NA	
1998	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.690640736	0.0566394	Reporting FET on the AB hits and B totals. Probably CORRECT.
1998	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.297414388	0.021595142	Reporting on z test of proportions.
1998	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0	NOTSURE	Small number of window hits make p-value calculation difficult.
1998	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.683438394	1	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 1.4153767619581632-27.813328179614533    CI2: 1.0252721187578735-2.829951890445916 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99"
1998	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	1.342404708	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
1998	chisq		3.076719841	0.079420551	
1998	tost		2.21418944	0.986592125	
1999	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.697529737	0.029111441	Reporting FET on the AB hits and B totals. Probably CORRECT.
1999	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.650324136	0.008041458	Reporting on z test of proportions.
1999	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.647549531	NOTSURE	Small number of window hits make p-value calculation difficult.
1999	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.68698206	1	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 1.942435755612995-25.62825952110602    CI2: 1.2190322171736265-3.004059599239652 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99"
1999	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	1.140786637	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
1999	chisq		4.747558186	0.0293399	
1999	tost		2.447684911	0.992811134	
2000	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.703790919	0.07033952	Reporting FET on the AB hits and B totals. Probably CORRECT.
2000	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	1.984674062	0.047180746	Reporting on z test of proportions.
2000	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0	NOTSURE	Small number of window hits make p-value calculation difficult.
2000	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.689433441	1	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 1.6626099521857862-21.92860633870952    CI2: 1.5185577857815196-3.3193151090907707 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99"
2000	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0.612432643	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2000	chisq		2.483582089	0.115039982	
2000	tost		1.858526037	0.968452825	
2001	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.620916254	0.002749436	Reporting FET on the AB hits and B totals. Probably CORRECT.
2001	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.671139471	0.000241472	Reporting on z test of proportions.
2001	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.769550058	NOTSURE	Small number of window hits make p-value calculation difficult.
2001	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.596255681	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.010341532512382-24.895327015645268    CI2: 2.0027300790213105-3.85456747884588 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2001	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0.696170045	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2001	chisq		11.13692942	0.000846259	
2001	tost		3.171777704	0.999242455	
2002	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.396291882	0.000788234	Reporting FET on the AB hits and B totals. Probably CORRECT.
2002	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	4.073064166	4.64E-05	Reporting on z test of proportions.
2002	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.258762118	NOTSURE	Small number of window hits make p-value calculation difficult.
2002	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.361714911	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 5.289010105571562-25.11713376356495    CI2: 2.605431943187817-4.511728742932163 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2002	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0.521709557	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2002	chisq		14.38602364	0.000148903	
2002	tost		3.452487267	0.999722278	
2003	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.804071362	0.001417811	Reporting FET on the AB hits and B totals. Probably CORRECT.
2003	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.700832693	0.000214893	Reporting on z test of proportions.
2003	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	1.166330984	NOTSURE	Small number of window hits make p-value calculation difficult.
2003	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.76142299	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 5.6416387680836-23.654025422627562    CI2: 3.3148783960276007-5.279306308053154 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2003	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0.344227549	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2003	chisq		11.99142462	0.000534459	
2003	tost		3.087164348	0.998989621	
2004	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.433420125	0.003689316	Reporting FET on the AB hits and B totals. Probably CORRECT.
2004	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.409216791	0.000651497	Reporting on z test of proportions.
2004	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	1.087323944	NOTSURE	Small number of window hits make p-value calculation difficult.
2004	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.387250543	1	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 5.7301276225721045-21.764449494953535    CI2: 3.813234064300629-5.738818847352746 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99"
2004	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0.262406001	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2004	chisq		10.24220059	0.001372637	
2004	tost		2.777389963	0.99726013	
2005	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.396802871	0.001957556	Reporting FET on the AB hits and B totals. Probably CORRECT.
2005	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.563865288	0.000365434	Reporting on z test of proportions.
2005	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	1.977602108	NOTSURE	Small number of window hits make p-value calculation difficult.
2005	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.351428289	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 5.756017476575127-20.16487538922276    CI2: 3.78149967708519-5.551241248376186 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2005	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0.257671741	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2005	chisq		11.34057665	0.000758318	
2005	tost		2.877371358	0.997994983	
2006	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.520984174	0.000362679	Reporting FET on the AB hits and B totals. Probably CORRECT.
2006	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	4.192966798	2.75E-05	Reporting on z test of proportions.
2006	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.848016848	NOTSURE	Small number of window hits make p-value calculation difficult.
2006	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.474243004	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 6.351846110390849-19.632040369393707    CI2: 3.773560835444449-5.397956102570572 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2006	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0.277540389	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2006	chisq		16.06787454	6.11E-05	
2006	tost		3.381927853	0.999640105	
2007	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.490293169	0.000193819	Reporting FET on the AB hits and B totals. Probably CORRECT.
2007	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	4.325733148	1.52E-05	Reporting on z test of proportions.
2007	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.114567901	NOTSURE	Small number of window hits make p-value calculation difficult.
2007	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.447821964	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 5.969270223378863-17.54582578637259    CI2: 3.52352860156838-4.960867146949056 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2007	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0.284152244	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2007	chisq		17.21602249	3.34E-05	
2007	tost		3.470677244	0.999740426	
2008	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.375087417	0.000225458	Reporting FET on the AB hits and B totals. Probably CORRECT.
2008	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	4.181461449	2.90E-05	Reporting on z test of proportions.
2008	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	1.122723276	NOTSURE	Small number of window hits make p-value calculation difficult.
2008	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.338218902	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 5.27042820879776-15.140601191376254    CI2: 3.2413636649457493-4.502885756041468 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
