Date	A Term	A Count	B Term	B Count	AB Count	AB PMIDS	AB Pred Score	AB Pvalue	AB Sort Ratio	Total_count
1975	autism	268	genetic predisposition	41	1	[1238137]	0.09109424213888125	0.002433454714190666	0.024390243902439025	4510049
1976	autism	310	genetic predisposition	67	1	[1238137]	0.0578602458712838	0.004348189680218495	0.014925373134328358	4766496
1977	autism	347	genetic predisposition	92	1	[1238137]	0.04354453416596679	0.006327075626585655	0.010869565217391304	5029857
1978	autism	396	genetic predisposition	113	1	[1238137]	0.03630557019799417	0.008401423150097245	0.008849557522123894	5304089
1979	autism	447	genetic predisposition	147	1	[1238137]	0.02892596996133688	0.011697932521254452	0.006802721088435374	5584524
1980	autism	487	genetic predisposition	184	1	[1238137]	0.023950839911334388	0.015160443506192472	0.005434782608695652	5866062
1981	autism	534	genetic predisposition	228	1	[1238137]	0.02006245028174052	0.019602121525583605	0.0043859649122807015	6150468
1982	autism	602	genetic predisposition	271	1	[1238137]	0.017386795097526487	0.024996659366406094	0.0036900369003690036	6445073
1983	autism	660	genetic predisposition	311	1	[1238137]	0.015543792910198917	0.029929045838930392	0.003215434083601286	6755556
1984	autism	730	genetic predisposition	360	1	[1238137]	0.01380224122678696	0.03647594533419661	0.002777777777777778	7073079
1985	autism	809	genetic predisposition	418	1	[1238137]	0.012232162557651563	0.04462502753288885	0.0023923444976076554	7408101
1988	autism	1109	genetic predisposition	657	2	[3170453, 1238137]	0.01786829127559059	0.0034571310122373552	0.0030441400304414	8507506
1989	autism	1241	genetic predisposition	745	3	[3170453, 1238137, 2669414]	0.025224279987674913	0.0001711891506293836	0.004026845637583893	8911583
1990	autism	1355	genetic predisposition	849	3	[3170453, 1238137, 2669414]	0.022878415512315585	0.0002841775736361762	0.0035335689045936395	9321475
1991	autism	1511	genetic predisposition	952	3	[3170453, 1238137, 2669414]	0.020886112625129648	0.0004793199607005797	0.0031512605042016808	9734824
1992	autism	1684	genetic predisposition	1095	3	[3170453, 1238137, 2669414]	0.018700760258072005	0.0008676737427738055	0.0027397260273972603	10156146
1993	autism	1862	genetic predisposition	1239	3	[3170453, 1238137, 2669414]	0.016925100378025644	0.001463125690716824	0.002421307506053269	10581310
1994	autism	2009	genetic predisposition	1404	3	[3170453, 1238137, 2669414]	0.01535598186227021	0.002303823099812164	0.002136752136752137	11017996
1995	autism	2171	genetic predisposition	1566	3	[3170453, 1238137, 2669414]	0.014058923342765591	0.0034746976227421704	0.0019157088122605363	11466639
1996	autism	2373	genetic predisposition	1744	3	[3170453, 1238137, 2669414]	0.01282469602534287	0.005332082763902865	0.0017201834862385322	11955932
1997	autism	2559	genetic predisposition	1965	3	[3170453, 1238137, 2669414]	0.011597874392177299	0.008180234245609303	0.0015267175572519084	12416462
1998	autism	2799	genetic predisposition	2215	3	[3170453, 1238137, 2669414]	0.010412337698873394	0.012833193402130492	0.0013544018058690745	12939925
1999	autism	3067	genetic predisposition	2489	4	[10212552, 3170453, 1238137, 2669414]	0.013327917064372816	0.0027627503099966703	0.0016070711128967456	13431541
2000	autism	3387	genetic predisposition	2741	4	[10212552, 3170453, 1238137, 2669414]	0.01209450761037341	0.00477605550473369	0.001459321415541773	13983238
2001	autism	3818	genetic predisposition	3058	8	[11481586, 11392322, 10212552, 3170453, 11331734, 1238137, 2669414, 11235299]	0.026384195549714662	2.0989841602067415e-06	0.002616088947024199	14520778
2002	autism	4316	genetic predisposition	3356	11	[11481586, 11392322, 10212552, 3170453, 12025430, 12192627, 11331734, 11840501, 1238137, 2669414, 11235299]	0.03639209751892709	6.455466525262946e-09	0.0032777115613825984	15096257
2003	autism	4827	genetic predisposition	3687	13	[11481586, 11392322, 10212552, 3170453, 12025430, 12192627, 11331734, 11840501, 12846270, 14648479, 1238137, 2669414, 11235299]	0.04148306573557066	2.7285621991680863e-10	0.003525901817195552	15725045
2004	autism	5472	genetic predisposition	4042	15	[11481586, 11392322, 10212552, 3170453, 12025430, 15048648, 12192627, 11331734, 15446388, 11840501, 12846270, 14648479, 1238137, 2669414, 11235299]	0.04568972467992832	1.9007187460608114e-11	0.003711034141514102	16370140
2005	autism	6161	genetic predisposition	4387	17	[11481586, 11392322, 10212552, 3170453, 12025430, 15689451, 15048648, 12192627, 11331734, 15446388, 11840501, 12846270, 14648479, 15882779, 1238137, 2669414, 11235299]	0.04960695700913269	1.5575660499481045e-12	0.0038750854798267607	17025946
2006	autism	6995	genetic predisposition	4794	21	[11481586, 17053076, 11392322, 3170453, 10212552, 12025430, 15689451, 16685182, 15048648, 12192627, 11331734, 17230033, 15446388, 16205742, 11840501, 12846270, 14648479, 15882779, 1238137, 2669414, 11235299]	0.06025793852870915	2.0098987667045075e-15	0.004380475594493116	17712319
2007	autism	8020	genetic predisposition	5199	23	[11481586, 17053076, 11392322, 3170453, 10212552, 12025430, 15689451, 16685182, 15048648, 12192627, 11331734, 17230033, 15446388, 16205742, 11840501, 12846270, 14648479, 15882779, 1238137, 17598645, 2669414, 11235299, 18271397]	0.06204316076772889	5.94201172401004e-16	0.0044239276783996926	18431136
2008	autism	9233	genetic predisposition	5618	24	[11481586, 17053076, 11392322, 3170453, 10212552, 12025430, 15689451, 16685182, 15048648, 12192627, 11331734, 17230033, 15446388, 16205742, 11840501, 12846270, 14648479, 15882779, 1238137, 18509488, 17598645, 2669414, 11235299, 18271397]	0.05952808114845111	2.633976307461445e-15	0.004271982912068352	19189069
2009	autism	10542	genetic predisposition	6042	26	[11481586, 17053076, 11392322, 3170453, 10212552, 12025430, 15689451, 16685182, 15048648, 12192627, 19357934, 11331734, 17230033, 15446388, 16205742, 11840501, 12846270, 14648479, 15882779, 1238137, 18509488, 17598645, 19043939, 2669414, 11235299, 18271397]	0.06053392247865602	1.3482686101991075e-15	0.004303210857332009	19974534
2010	autism	12157	genetic predisposition	6512	28	[20603222, 11481586, 17053076, 11392322, 3170453, 10212552, 20713722, 12025430, 15689451, 16685182, 15048648, 12192627, 19357934, 11331734, 17230033, 15446388, 16205742, 11840501, 12846270, 14648479, 15882779, 1238137, 18509488, 17598645, 19043939, 2669414, 11235299, 18271397]	0.06047328975457712	1.3982720316319956e-15	0.0042997542997543	20804906
2011	autism	14011	genetic predisposition	7025	34	[20603222, 11481586, 17053076, 11392322, 3170453, 10212552, 20713722, 12025430, 20967576, 15689451, 16685182, 15048648, 12192627, 19357934, 11331734, 17230033, 21935445, 15446388, 21926154, 16205742, 11840501, 12846270, 14648479, 15882779, 21623535, 1238137, 18509488, 17598645, 19043939, 2669414, 11235299, 21890215, 18271397, 21472451]	0.07228952420189491	8.280371140764419e-19	0.004839857651245552	21681503
2012	autism	16268	genetic predisposition	7557	37	[20603222, 11481586, 17053076, 21519954, 11392322, 22738016, 3170453, 10212552, 20713722, 12025430, 20967576, 15689451, 16685182, 15048648, 12192627, 19357934, 11331734, 17230033, 21935445, 15446388, 21926154, 16205742, 11840501, 12846270, 14648479, 15882779, 21623535, 1238137, 18509488, 17598645, 19043939, 2669414, 11235299, 21890215, 22519265, 18271397, 21472451]	0.07307879296247417	5.302784015034951e-19	0.004896122800052931	22627076
2012	autism	16268	microbiome|gut microbiome|gut microbiota|microbiota	7412	13	[21949732, 23990817, 22233678, 20337404, 22997101, 9881820, 22114588, 21485746, 22306194, 22736019, 21087057, 22179208, 23990818]	0.013534682201400045	0.003421810557235968	0.0017539125742039934	22627076
2013	autism	18851	genetic predisposition	8086	40	[20603222, 11481586, 17053076, 21519954, 11392322, 22738016, 3170453, 10212552, 20713722, 12025430, 20967576, 15689451, 16685182, 15048648, 12192627, 19357934, 11331734, 17230033, 23273906, 21935445, 15446388, 21926154, 16205742, 11840501, 23622947, 12846270, 23010509, 14648479, 15882779, 21623535, 1238137, 18509488, 17598645, 19043939, 2669414, 11235299, 21890215, 22519265, 18271397, 21472451]	0.07328656459080571	5.160734813036342e-19	0.004946821667078902	23614057
2013	autism	18851	microbiome|gut microbiome|gut microbiota|microbiota	10005	27	[24315484, 23844187, 24130822, 21949732, 23990817, 22233678, 24188502, 20337404, 23342949, 23307560, 23400224, 9881820, 22997101, 22114588, 23656715, 23257018, 24416709, 21485746, 22306194, 22736019, 21087057, 24991177, 22179208, 23587115, 23990818, 24416703, 24416707]	0.030784499011005637	9.785662700879372e-08	0.0026986506746626685	23614057
2014	autism	21750	genetic predisposition	8629	45	[20603222, 11481586, 17053076, 24333160, 21519954, 11392322, 22738016, 3170453, 10212552, 20713722, 12025430, 20967576, 15689451, 16685182, 15048648, 12192627, 19357934, 11331734, 17230033, 23273906, 21935445, 15446388, 25004237, 24333575, 21926154, 16205742, 11840501, 23622947, 12846270, 25093331, 23010509, 14648479, 15882779, 21623535, 1238137, 18509488, 17598645, 19043939, 2669414, 11235299, 21890215, 22519265, 18271397, 21472451, 25438566]	0.07852208174780127	2.0619003561297104e-20	0.005214972766253332	24655223
2014	autism	21750	microbiome|gut microbiome|gut microbiota|microbiota	13359	49	[24315484, 23844187, 25392516, 24130822, 24370461, 24286462, 21949732, 24333160, 23990817, 22233678, 24188502, 20337404, 24997043, 23342949, 25145752, 23307560, 23400224, 9881820, 22997101, 25170769, 23981537, 22114588, 25642449, 23656715, 23257018, 24466331, 24416709, 24747144, 24720613, 21485746, 24997041, 24909808, 22306194, 22736019, 24712423, 21087057, 24991177, 25305474, 22179208, 25344727, 25175350, 24639668, 26104352, 23587115, 23990818, 24366270, 24438664, 24416703, 24416707]	0.059804398116532376	4.708855341410402e-16	0.003667939217007261	24655223
2015	autism	24959	genetic predisposition	9198	53	[20603222, 11481586, 17053076, 25446201, 24333160, 21519954, 11392322, 22738016, 3170453, 10212552, 20713722, 12025430, 20967576, 15689451, 16685182, 15048648, 12192627, 19357934, 11331734, 17230033, 23273906, 21935445, 25750705, 15446388, 25004237, 24333575, 21926154, 16205742, 11840501, 23622947, 12846270, 25093331, 23010509, 26074774, 14648479, 26631470, 25464930, 15882779, 21623535, 1238137, 25710845, 18509488, 25553376, 17598645, 19043939, 2669414, 26484295, 11235299, 21890215, 22519265, 18271397, 21472451, 25438566]	0.09102099429557281	7.489579007229639e-24	0.0057621222004783645	25745403
2015	autism	24959	microbiome|gut microbiome|gut microbiota|microbiota	17737	94	[24315484, 25830558, 25561744, 25689247, 23844187, 25392516, 24130822, 24370461, 24286462, 25849657, 21949732, 25446201, 26046241, 24333160, 25772005, 23990817, 22233678, 24188502, 20337404, 24997043, 23342949, 25145752, 26184083, 23307560, 26031685, 25911232, 25852213, 26372511, 23400224, 22997101, 9881820, 25835343, 26427004, 25170769, 23981537, 26306709, 22114588, 25642449, 23656715, 25769266, 23257018, 25956238, 24466331, 24416709, 24747144, 24720613, 25834446, 21485746, 25855935, 25300465, 24997041, 24909808, 22306194, 24732404, 22736019, 29388597, 26663857, 24712423, 21087057, 25956237, 24991177, 26057846, 25446754, 25305474, 25634609, 25338280, 26046240, 22179208, 25682593, 26706413, 25344727, 26658584, 25175350, 24639668, 25992551, 26536593, 26490976, 25634608, 26770897, 26104352, 25311313, 23587115, 25808801, 23990818, 25670416, 25792275, 25758371, 25852770, 24366270, 25913376, 24438664, 26203574, 24416703, 24416707]	0.1336881255187969	3.8731580010402027e-38	0.005299656086147601	25745403
2016	autism	28268	genetic predisposition	9770	58	[20603222, 11481586, 17053076, 25446201, 24333160, 21519954, 11392322, 22738016, 3170453, 10212552, 20713722, 12025430, 20967576, 15689451, 16685182, 15048648, 12192627, 19357934, 11331734, 27867363, 17230033, 23273906, 21935445, 25750705, 15446388, 25004237, 24333575, 21926154, 16205742, 11840501, 23622947, 12846270, 25093331, 23010509, 26074774, 14648479, 26055422, 26631470, 25464930, 15882779, 21623535, 1238137, 25710845, 18509488, 27900342, 25553376, 17598645, 19043939, 2669414, 26484295, 11235299, 21890215, 22519265, 18271397, 28008202, 21472451, 25438566, 26697740]	0.0947003144612842	7.525292722315865e-25	0.00593654042988741	26864373
2016	autism	28268	microbiome|gut microbiome|gut microbiota|microbiota	23217	135	[24315484, 25830558, 25561744, 25689247, 27446020, 27814521, 27315483, 23844187, 25392516, 24130822, 24370461, 24286462, 25849657, 27045844, 21949732, 25446201, 26046241, 24333160, 25772005, 23990817, 22233678, 24188502, 20337404, 24997043, 23342949, 25145752, 26755882, 26184083, 23307560, 26706021, 26031685, 25911232, 27417321, 25852213, 26372511, 23400224, 26956193, 27833600, 22997101, 9881820, 25835343, 26427004, 27594980, 26964681, 25170769, 23981537, 26306709, 27143475, 27904735, 22114588, 25642449, 23656715, 25769266, 23257018, 25956238, 24466331, 24416709, 27260271, 24747144, 27489376, 24720613, 25834446, 21485746, 25855935, 25300465, 24997041, 27581276, 28028357, 24909808, 27330338, 22306194, 27779624, 27840741, 26939763, 24732404, 27756430, 22736019, 29388597, 27864534, 26663857, 24712423, 27774001, 21087057, 26527110, 25956237, 27793221, 27123458, 24991177, 26057846, 25446754, 25305474, 26442855, 25634609, 25338280, 26046240, 22179208, 25682593, 26746679, 26706413, 27398286]	0.18613952979123005	1.616566593013096e-54	0.005814704742214756	26864373
2017	autism	31836	genetic predisposition	10308	64	[20603222, 11481586, 17053076, 25446201, 24333160, 21519954, 11392322, 22738016, 3170453, 10212552, 20713722, 12025430, 20967576, 15689451, 16685182, 15048648, 12192627, 19357934, 11331734, 27867363, 17230033, 23273906, 21935445, 25750705, 15446388, 25004237, 24333575, 21926154, 16205742, 11840501, 23622947, 12846270, 25093331, 23010509, 26074774, 27622677, 14648479, 26055422, 26631470, 25464930, 15882779, 21623535, 27582229, 1238137, 25710845, 18509488, 27900342, 25553376, 28598237, 29503778, 17598645, 19043939, 2669414, 26484295, 28393290, 11235299, 21890215, 22519265, 18271397, 29209394, 28008202, 21472451, 25438566, 26697740]	0.10070572658688996	1.7145514371006587e-26	0.006208769887466045	27993887
2017	autism	31836	microbiome|gut microbiome|gut microbiota|microbiota	30132	184	[24315484, 25830558, 28092661, 25561744, 25689247, 27446020, 27814521, 27315483, 28122648, 23844187, 25392516, 24130822, 24370461, 24286462, 28164854, 28222761, 25849657, 27045844, 21949732, 27641441, 25446201, 26046241, 24333160, 25772005, 23990817, 22233678, 27773355, 24188502, 28301775, 20337404, 24997043, 23342949, 28503135, 25145752, 26755882, 26184083, 23307560, 28375652, 28852308, 26706021, 26031685, 28965876, 25911232, 28275689, 27417321, 25852213, 26372511, 23400224, 28966571, 26956193, 27833600, 27843150, 22997101, 9881820, 25835343, 26427004, 27594980, 26964681, 27349436, 25170769, 23981537, 26306709, 27143475, 27904735, 27882443, 22114588, 25642449, 23656715, 25769266, 28691768, 23257018, 25956238, 24466331, 24416709, 27260271, 28349974, 24747144, 27489376, 24720613, 25834446, 21485746, 25855935, 25300465, 24997041, 27581276, 28028357, 24909808, 27330338, 22306194, 27779624, 27840741, 26939763, 24732404, 27756430, 22736019, 28215985, 29023380, 28938872, 29388597, 27856622]	0.24051722859791141	9.18905655065196e-72	0.006106464887826895	27993887
