Year	StatType	Terms	Statistic	P-Value	Additional Info
1975	NOLINES		NA	NA	
1976	NOLINES		NA	NA	
1977	NOLINES		NA	NA	
1978	NOLINES		NA	NA	
1979	NOLINES		NA	NA	
1980	NOLINES		NA	NA	
1981	NOLINES		NA	NA	
1982	NOLINES		NA	NA	
1983	NOLINES		NA	NA	
1984	NOLINES		NA	NA	
1985	NOLINES		NA	NA	
1986	NOLINES		NA	NA	
1987	NOLINES		NA	NA	
1988	NOLINES		NA	NA	
1989	NOLINES		NA	NA	
1990	NOLINES		NA	NA	
1991	NOLINES		NA	NA	
1992	NOLINES		NA	NA	
1993	NOLINES		NA	NA	
1994	NOLINES		NA	NA	
1995	NOLINES		NA	NA	
1996	NOLINES		NA	NA	
1997	NOLINES		NA	NA	
1998	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
1999	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2000	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2001	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2002	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2003	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2004	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2005	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2006	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2007	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2008	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2009	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2010	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2011	ONLY1		vaccine|vaccines|vaccination|vaccinal	NA	
2012	ratio_of_ratios_FET_ratios_directly	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	0.8943346375247346	0.789103758808452	Reporting FET on the AB hits and B totals. Probably CORRECT.
2012	ratio_of_ratios_zprop	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	-0.39616459101553264	0.6919836111185108	Reporting on z test of proportions.
2012	windowed_ratio_of_rat_or_int	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	0.8119212088505127	NOTSURE	Small number of window hits make p-value calculation difficult.
2012	ratio_of_fet_stats	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	0.8819208665586384	1	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 1.1947510881168222-4.996169393544095    CI2: 2.4145911368825557-3.178423408574932 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99
2012	ratio_of_pred_scores	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	0.07024503821053409	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2012	chisq		0.06824902194865419	0.7939034715229174	
2012	tost		0.5334892758784169	0.29684746632326703	
2013	ratio_of_ratios_FET_ratios_directly	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	1.374400299850075	0.10810322750560614	Reporting FET on the AB hits and B totals. Probably CORRECT.
2013	ratio_of_ratios_zprop	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	1.6056124440285404	0.10835908956953694	Reporting on z test of proportions.
2013	windowed_ratio_of_rat_or_int	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	2.6998007455971207	NOTSURE	Small number of window hits make p-value calculation difficult.
2013	ratio_of_fet_stats	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	1.360008123292738	1	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 2.0630081751847156-5.571805012488877    CI2: 2.182578134508615-2.8473709758966512 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99
2013	ratio_of_pred_scores	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	0.17951528159175062	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2013	chisq		2.2117025665082353	0.13696743539472803	
2013	tost		0.7746063261995846	0.7807138410020532	
2014	ratio_of_ratios_FET_ratios_directly	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	1.8671783589206914	0.00011080995114764987	Reporting FET on the AB hits and B totals. Probably CORRECT.
2014	ratio_of_ratios_zprop	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	4.202346146323402	2.6416278370189112e-05	Reporting on z test of proportions.
2014	windowed_ratio_of_rat_or_int	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.3150864639236732	NOTSURE	Small number of window hits make p-value calculation difficult.
