Year	StatType	Terms	Statistic	P-Value	Additional Info
1975	ONLY1		herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	NA	
1976	ONLY1		herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	NA	
1977	ONLY1		herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	NA	
1978	ONLY1		herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	NA	
1979	ONLY1		herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	NA	
1980	ONLY1		herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	NA	
1981	ONLY1		herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	NA	
1982	ONLY1		herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	NA	
1983	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	1.993075751280986	0.14992334868845844	Reporting FET on the AB hits and B totals. Probably CORRECT.
1983	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	1.379575721898182	0.1677173168506284	Reporting on z test of proportions.
1983	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	2.7305236270753515	NOTSURE	Small number of window hits make p-value calculation difficult.
1983	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	1.9345753805619215	1	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 13.902857963548025-186.8941881049292    CI2: 19.722264147576183-35.20236143428994 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99
1983	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	0.2450448430507088	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1983	chisq		1.0214468223544513	0.31217606450606505	
1983	tost		1.2863035324302132	0.90083142491501	
1984	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	2.948863029785417	0.012464994904998148	Reporting FET on the AB hits and B totals. Probably CORRECT.
1984	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	2.8999046882739097	0.0037327614498766227	Reporting on z test of proportions.
1984	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	12.629032258064516	NOTSURE	Small number of window hits make p-value calculation difficult.
1984	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	2.8896579092351957	1	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 26.135657695994304-187.73601414499393    CI2: 18.27136470847554-32.160084109018456 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99
1984	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	0.3717978534728745	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1984	chisq		6.444457048949488	0.011129905267746409	
1984	tost		2.5535694277259107	0.9946687490498387	
1985	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	5.032016530934727	5.386345075497597e-07	Reporting FET on the AB hits and B totals. Probably CORRECT.
1985	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	6.679160771667573	2.4031441692341537e-11	Reporting on z test of proportions.
1985	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	11.239772727272728	NOTSURE	Small number of window hits make p-value calculation difficult.
1985	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	5.026534221170065	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 60.535953943403705-225.8499297064437    CI2: 17.74823523396061-30.48883899087318 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
1985	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	0.6872849415748195	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1985	chisq		39.304361441575246	3.626304108361955e-10	
1985	tost		5.56253553873265	0.9999999867058569	
1986	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	7.395236501028266	8.319371366209214e-17	Reporting FET on the AB hits and B totals. Probably CORRECT.
1986	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	11.811627363721268	3.399176249870381e-32	Reporting on z test of proportions.
1986	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	13.522727272727273	NOTSURE	Small number of window hits make p-value calculation difficult.
1986	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	7.570821481703584	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 104.83801229844373-265.0673585376492    CI2: 16.9822855617592-28.54912996366752 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
1986	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	1.1557543219718693	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1986	chisq		126.5666487121034	2.3110842702596735e-29	
