Year	StatType	Terms	Statistic	P-Value	Additional Info
1975	ONLY1		psychological&stress	NA	
1976	ONLY1		psychological&stress	NA	
1977	ONLY1		psychological&stress	NA	
1978	ONLY1		psychological&stress	NA	
1979	ONLY1		psychological&stress	NA	
1980	ONLY1		psychological&stress	NA	
1981	ONLY1		psychological&stress	NA	
1982	ONLY1		psychological&stress	NA	
1983	ONLY1		psychological&stress	NA	
1984	ratio_of_ratios_zprop	bacteria&infection,psychological&stress	-3.019767389114549	0.0025296888719865806	Reporting on z test of proportions.
1984	ci_of_oddsratio	bacteria&infection,psychological&stress	0.0747950287600001	1	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: -2.3152122190984983-2.837890481898965    CI2: 2.2031164635748066-4.7850252814818015 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99
1984	chisq		6.1647415348550805	0.013032141346356642	
1985	ratio_of_ratios_zprop	bacteria&infection,psychological&stress	-2.523195027247504	0.0116293884421277	Reporting on z test of proportions.
1985	ci_of_oddsratio	bacteria&infection,psychological&stress	0.15055700160245536	1	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: -1.355253393127044-2.2891786684673354    CI2: 1.8109306180955558-4.392203513164008 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99
1985	chisq		4.139245333731551	0.04189984510325925	
1986	ratio_of_ratios_zprop	bacteria&infection,psychological&stress	-3.050364538546064	0.0022856375953951413	Reporting on z test of proportions.
