Year	StatType	Terms	Statistic	P-Value	Additional Info
1975	ONLY1		virus infection|viral infectious particle|viral infection	NA	
1976	ONLY1		virus infection|viral infectious particle|viral infection	NA	
1977	ONLY1		virus infection|viral infectious particle|viral infection	NA	
1978	ONLY1		virus infection|viral infectious particle|viral infection	NA	
1979	ONLY1		virus infection|viral infectious particle|viral infection	NA	
1980	ONLY1		virus infection|viral infectious particle|viral infection	NA	
1981	ONLY1		virus infection|viral infectious particle|viral infection	NA	
1982	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	0.8619011157295998	1.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
1982	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	-0.2156986189907035	0.8292226777669308	Reporting on z test of proportions.
1982	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0.5892036753445636	NOTSURE	Small number of window hits make p-value calculation difficult.
1982	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	0.855072037530008	1	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 3.3910761990876175-67.11679572020559    CI2: 6.613454946653833-47.06899817863709 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99
1982	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	0.5180334382272174	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1982	chisq		0.0	1.0	
1982	tost		0.246701775426542	0.40256951621835513	
1983	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	1.1080876795162509	1.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
1983	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	0.16392331053627845	0.8697915161637224	Reporting on z test of proportions.
1983	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
1983	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	1.1023491844340694	1	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.680404502347625-62.23375856537755    CI2: 5.806417990916891-41.282192286234526 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99
1983	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	0.7154960597005078	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1983	chisq		0.0	1.0	
1983	tost		-0.05198454749004959	0.47927050304076235	
1984	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	1.6042554953015689	0.39488456632491065	Reporting FET on the AB hits and B totals. Probably CORRECT.
1984	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	0.8580682883997942	0.3908547567471192	Reporting on z test of proportions.
1984	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
1984	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	1.603168567995425	1	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 7.510852301159151-62.33522142529889    CI2: 5.064790860228494-35.96688552525671 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99
