Date	A Term	A Count	B Term	B Count	AB Count	AB PMIDS	AB Pred Score	AB Pvalue	AB Sort Ratio	Total_count
1975	scrapie	315	virus infection|viral infectious particle|viral infection	2234	3	[4961240, 4207308, 173381]	0.014589247871699445	0.0005580449428821792	0.0013428827215756492	4510049
1976	scrapie	346	virus infection|viral infectious particle|viral infection	2605	3	[4961240, 4207308, 173381]	0.013201781951903257	0.0009703154676884877	0.0011516314779270633	4766496
1977	scrapie	364	virus infection|viral infectious particle|viral infection	3003	3	[4961240, 4207308, 173381]	0.012154277951477672	0.0014433176414493836	0.000999000999000999	5029857
1978	scrapie	388	virus infection|viral infectious particle|viral infection	3401	4	[4961240, 4207308, 566770, 173381]	0.015997620480018102	0.0001289677852148406	0.0011761246692149367	5304089
1979	scrapie	404	virus infection|viral infectious particle|viral infection	3819	4	[4961240, 4207308, 566770, 173381]	0.015028797285541233	0.0001920828906645933	0.0010473946059177796	5584524
1980	scrapie	425	virus infection|viral infectious particle|viral infection	4258	5	[4961240, 4207308, 566770, 7357057, 173381]	0.01866791916755672	1.761765412679701e-05	0.0011742602160638798	5866062
1981	scrapie	458	virus infection|viral infectious particle|viral infection	4740	6	[4961240, 4207308, 566770, 7357057, 173381, 6273667]	0.021953371177843822	1.924337805621737e-06	0.0012658227848101266	6150468
1982	scrapie	494	protein&infection	2612	3	[6801762, 7197001, 6815090]	0.012969151454719828	0.0011447162215480746	0.0011485451761102604	6445073
1982	scrapie	494	virus infection|viral infectious particle|viral infection	5253	7	[4961240, 4207308, 6272148, 566770, 7357057, 173381, 6273667]	0.025035355823944633	2.2980868666595842e-07	0.001332571863696935	6445073
1983	scrapie	528	protein&infection	3024	4	[6801762, 7197001, 6815090, 6139943]	0.016749201624682523	0.00010644311005290831	0.0013227513227513227	6755556
1983	scrapie	528	virus infection|viral infectious particle|viral infection	5864	7	[4961240, 4207308, 6272148, 566770, 7357057, 173381, 6273667]	0.023409215742841966	5.440857202747218e-07	0.0011937244201909959	6755556
1984	scrapie	575	protein&infection	3451	6	[6801762, 6685822, 6431296, 7197001, 6815090, 6139943]	0.025309052001707657	5.182136198414961e-07	0.0017386264850767893	7073079
